epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,136.474,2.08653,2.46641,2.19975,0.50992,0.21691,0.12653,0.03698,2.30713,3.52722,2.59964,0.008548,0.008548,0.008548
46,139.263,2.0816,2.45967,2.18443,0.56245,0.16918,0.14548,0.04821,2.29332,3.12887,2.48668,0.008515,0.008515,0.008515
47,141.982,2.10161,2.46199,2.16872,0.44086,0.13781,0.05882,0.01936,2.51241,4.65417,2.7524,0.008482,0.008482,0.008482
48,144.724,2.09491,2.44254,2.17086,0.48282,0.20815,0.09796,0.032,2.48947,4.25537,2.69768,0.008449,0.008449,0.008449
49,147.472,2.07686,2.43909,2.1781,0.54813,0.22675,0.1539,0.05705,2.29215,2.93643,2.44015,0.008416,0.008416,0.008416
50,150.187,2.0516,2.45103,2.14745,0.49625,0.20936,0.14521,0.04836,2.33452,2.54533,2.45751,0.008383,0.008383,0.008383
51,152.887,2.09685,2.37501,2.11382,0.46363,0.16098,0.10118,0.0307,2.36194,3.00665,2.58767,0.00835,0.00835,0.00835
52,155.631,2.10529,2.41722,2.16917,0.57155,0.21504,0.17153,0.05529,2.25886,3.17185,2.48309,0.008317,0.008317,0.008317
53,158.423,2.1024,2.40674,2.15251,0.50607,0.2369,0.14762,0.05148,2.26099,2.77644,2.43897,0.008284,0.008284,0.008284
54,161.134,2.05487,2.4278,2.12462,0.45305,0.18973,0.1022,0.03386,2.32087,2.8606,2.48326,0.008251,0.008251,0.008251
55,163.959,2.07661,2.3565,2.13332,0.51142,0.24633,0.17404,0.05548,2.22348,2.64518,2.3788,0.008218,0.008218,0.008218
56,166.92,2.06594,2.39701,2.13248,0.50619,0.16665,0.10985,0.03654,2.30921,3.01626,2.49606,0.008185,0.008185,0.008185
57,169.648,2.09094,2.41869,2.12816,0.50785,0.20964,0.13644,0.03959,2.41021,3.99608,2.62942,0.008152,0.008152,0.008152
58,172.328,2.09321,2.40974,2.12827,0.50686,0.22869,0.14082,0.04752,2.25642,3.45384,2.39645,0.008119,0.008119,0.008119
59,174.992,2.05199,2.41021,2.12307,0.55054,0.17409,0.15469,0.05068,2.24049,2.57357,2.41689,0.008086,0.008086,0.008086
60,177.681,2.02775,2.34216,2.08075,0.56986,0.21074,0.16475,0.05695,2.24895,2.71536,2.37899,0.008053,0.008053,0.008053
61,180.439,2.03467,2.35307,2.09343,0.51713,0.19073,0.13025,0.04089,2.38722,2.92606,2.56684,0.00802,0.00802,0.00802
62,183.151,2.02916,2.31723,2.12487,0.5493,0.21305,0.17206,0.06063,2.28958,2.58124,2.44276,0.007987,0.007987,0.007987
63,186.054,2.05561,2.3307,2.10525,0.58648,0.20983,0.19113,0.06795,2.22777,2.61831,2.36826,0.007954,0.007954,0.007954
64,188.862,2.05898,2.37945,2.1393,0.50572,0.22816,0.17536,0.05693,2.24187,2.55355,2.42183,0.007921,0.007921,0.007921
65,191.538,2.03529,2.36365,2.10729,0.48764,0.24127,0.16237,0.05073,2.3252,2.89178,2.48273,0.007888,0.007888,0.007888
66,194.35,2.03345,2.32388,2.10017,0.56193,0.24372,0.19823,0.06602,2.26951,2.55785,2.441,0.007855,0.007855,0.007855
67,197.031,2.0544,2.25941,2.0828,0.58009,0.23137,0.18567,0.0572,2.29018,3.11664,2.43531,0.007822,0.007822,0.007822
68,199.735,2.0411,2.31798,2.09558,0.54419,0.21174,0.15962,0.04721,2.27759,2.755,2.48201,0.007789,0.007789,0.007789
69,202.441,2.06322,2.24644,2.05892,0.5881,0.23605,0.18766,0.06254,2.20059,2.77555,2.38566,0.007756,0.007756,0.007756
70,205.032,2.03994,2.34212,2.11809,0.49889,0.22325,0.14525,0.04233,2.30908,2.54911,2.51252,0.007723,0.007723,0.007723
71,207.729,2.0506,2.30328,2.06343,0.51309,0.19948,0.17109,0.05081,2.27431,2.86004,2.49393,0.00769,0.00769,0.00769
72,210.364,2.04975,2.29479,2.0888,0.53365,0.18529,0.1643,0.04967,2.2585,3.14349,2.39754,0.007657,0.007657,0.007657
73,212.964,2.03087,2.26628,2.07627,0.63316,0.24327,0.21814,0.07637,2.17979,2.74599,2.32554,0.007624,0.007624,0.007624
74,215.711,2.03696,2.27063,2.11104,0.54154,0.22102,0.14122,0.04316,2.33616,2.76311,2.54821,0.007591,0.007591,0.007591
75,218.342,2.0469,2.28666,2.11757,0.57381,0.23498,0.18226,0.05799,2.33306,2.94738,2.51207,0.007558,0.007558,0.007558
76,220.999,1.99925,2.21945,2.03938,0.57485,0.20024,0.14719,0.0497,2.24593,3.33573,2.40793,0.007525,0.007525,0.007525
77,223.719,2.0168,2.22908,2.03009,0.56884,0.26127,0.18618,0.07106,2.15412,2.57799,2.30832,0.007492,0.007492,0.007492
78,226.293,2.0223,2.23804,2.07772,0.5265,0.25508,0.16665,0.05117,2.23474,2.75988,2.40237,0.007459,0.007459,0.007459
79,228.977,1.96805,2.21239,2.05453,0.54533,0.25194,0.18634,0.0694,2.21768,2.41695,2.34369,0.007426,0.007426,0.007426
80,231.567,1.99665,2.14466,2.05605,0.54336,0.20891,0.1773,0.06339,2.2981,2.52281,2.43184,0.007393,0.007393,0.007393
81,234.219,2.02304,2.18847,2.07096,0.5374,0.25646,0.18513,0.06338,2.26645,2.5523,2.4014,0.00736,0.00736,0.00736
